Número Procedimiento,Nro SAF,Descripcion SAF,Nro UOC,Descripcion UOC,Tipo de Procedimiento,Modalidad,Apartado Directa,Ejercicio,Fecha de Publicación,Fecha de Apertura,Etapa,Alcance,Nombre del Procedimiento,Objeto del Procedimiento,Monto Estimado,Tipo de Operación
84/36-1521-LPR20,374.0,374 - Estado Mayor General del Ejercito,84.0,84/36 - Escuela Militar de Montaña,Licitacion Privada,Sin Modalidad,,2020.0,05/10/2020 11:30:00 a.m.,13/10/2020 08:00:00 a.m.,Única,Nacional,Mantenimiento de fotocopiadoras para el 4to trimestre 2020.,Mantenimiento de fotocopiadoras para el 4to trimestre 2020.,37905.0,Proceso de Compra
84/36-1522-LPR20,374.0,374 - Estado Mayor General del Ejercito,84.0,84/36 - Escuela Militar de Montaña,Licitacion Privada,Sin Modalidad,,2020.0,05/10/2020 11:30:00 a.m.,13/10/2020 08:00:00 a.m.,Única,Nacional,Adquisición de Servicio de mantenimiento de Matafuegos ABC y soldadora MIG.,Adquisición de Servicio de mantenimiento de Matafuegos ABC y soldadora MIG.,99400.0,Proceso de Compra
47-0017-LPR20,607.0,607 - Instituto Nacional de Investigación y Desarrollo Pesquero,47.0,47 - Dpto. de Compras y Servicios- INIDEP,Licitacion Privada,Sin Modalidad,,2020.0,05/10/2020 11:00:00 a.m.,16/10/2020 11:30:00 a.m.,Única,Nacional,Adquisición de portones hidrodinámicos para pesca de arrastre para el BIP MAR ARGENTINO,Adquisición de portones hidrodinámicos para pesca de arrastre para el BIP MAR ARGENTINO,2329950.0,Proceso de Compra
38/13-1114-LPR20,379.0,379 - Estado Mayor General de la Armada,38.0,38/13 - Escuela de Tecnicas y Tacticas Navales,Licitacion Privada,Orden de compra abierta,,2020.0,05/10/2020 12:00:00 p.m.,19/10/2020 10:00:00 a.m.,Única,Nacional,ADQUIRIR MATERIALES E INSUMOS DE LIMPIEZA,ADQUIRIR MATERIALES E INSUMOS DE LIMPIEZA,3452441.0,Proceso de Compra
38/13-1116-LPR20,379.0,379 - Estado Mayor General de la Armada,38.0,38/13 - Escuela de Tecnicas y Tacticas Navales,Licitacion Privada,Orden de compra abierta,,2020.0,05/10/2020 12:00:00 p.m.,19/10/2020 11:00:00 a.m.,Única,Nacional,ADQUIRIR MATERIALES E INSUMOS DE LIBRERIA,ADQUIRIR MATERIALES E INSUMOS DE LIBRERIA,4416170.0,Proceso de Compra
14-0433-CDI20,105.0,105 - Comisión Nacional de Energía Atómica,14.0,14 - Compras y Contrataciones - CNEA,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2020.0,05/10/2020 10:00:00 a.m.,27/10/2020 10:00:00 a.m.,Única,Nacional,ADQUISICION DE INSUMOS PARA LABORATORIO- GCIA SEGURIDAD RADIOLOGICA Y NUCLEAR,ADQUISICION DE INSUMOS PARA LABORATORIO- GCIA SEGURIDAD RADIOLOGICA Y NUCLEAR,185250.0,Proceso de Compra
14-0437-CDI20,105.0,105 - Comisión Nacional de Energía Atómica,14.0,14 - Compras y Contrataciones - CNEA,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2020.0,05/10/2020 10:00:00 a.m.,22/10/2020 03:00:00 p.m.,Única,Nacional,Adquisición de TIPS PARA MICROPIPETAS,Adquisición de TIPS PARA MICROPIPETAS,96000.0,Proceso de Compra
67-0005-LPU20,905.0,905 - Instituto Nacional Central Único Coordinador de Ablación e Implante,67.0,67 - Departamento de compras y contrataciones- INCUCAI,Licitacion Pública,Sin Modalidad,,2020.0,05/10/2020 12:00:00 a.m.,26/10/2020 12:00:00 p.m.,Única,Nacional,Contratación del servicio de limpieza,Contratación del servicio de limpieza,7500000.0,Proceso de Compra
84/135-1547-LPR20,374.0,374 - Estado Mayor General del Ejercito,84.0,84/135 - Dirección General de Material,Licitacion Privada,Sin Modalidad,,2020.0,05/10/2020 09:00:00 a.m.,15/10/2020 09:00:00 a.m.,Única,Nacional,ADQUSICIÓN DE CARTUCHOS Y CABEZALES PARA PLOTTER CARTOGRÁFICO,ADQUSICIÓN DE CARTUCHOS Y CABEZALES PARA PLOTTER CARTOGRÁFICO,150600.0,Proceso de Compra
84/77-0187-LPU20,374.0,374 - Estado Mayor General del Ejercito,84.0,84/77 - Departamento Contaduría y Finanzas (EMGE),Licitacion Pública,Orden de compra abierta,,2020.0,05/10/2020 09:00:00 a.m.,15/10/2020 09:00:00 a.m.,Única,Nacional,SERVICIO DE MANTENIMIENTO DEL SISTEMA DE SEGURIDAD DEL EMGE,CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO DEL SISTEMA DE SEGURIDAD DEL ESTADO MAYOR GENERAL DEL EJÉRCITO,20708738.88,Proceso de Compra
47-0123-CDI20,607.0,607 - Instituto Nacional de Investigación y Desarrollo Pesquero,47.0,47 - Dpto. de Compras y Servicios- INIDEP,Contratación Directa,Sin Modalidad,Apartado 1: Compulsa Abreviada Por Monto,2020.0,05/10/2020 10:30:00 a.m.,21/10/2020 10:30:00 a.m.,Única,Nacional,Seguro de Accidentes Personales para el personal contratado bajo Decreto N° 1109/17,Seguro de Accidentes Personales para el personal contratado bajo Decreto N° 1109/17,151507.08,Proceso de Compra
